Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
12	3,244	Mn I	 CMG64	12	0.36
100	3,244	Ne II	 P71	100	0.67
500	3,244	Pu I	 BFG84	500	0.90
200	3,244	Th I	 PE83	200	0.77
60	3,245	La II	 MCS75	60	0.59
  700 P	3,245	Pu II	 BFG84	700	0.95
1000	3,246	Cm I	 WHGC76	1000	1.00
30	3,247	Tm I	 SMC73	30	0.49
 1000 P,s	3,247	Bk II	 WC78	1000	1.00
 1000 P	3,248	Cu I	 S48	1000	1.00
150	3,248	Hf I	 MCS75	150	0.73
100	3,248	Ne II	 P71	100	0.67
25	3,249	Mn I	 CMG64	25	0.47
100	3,249	Ti II	 HJLW82	100	0.67
100	3,250	Hf I	 MCS75	100	0.67
50	3,250	Li II	 HM59	50	0.57
100	3,250	Ne II	 P71	100	0.67
90	3,250	Zr I	 J98	90	0.65
50	3,251	Dy II	 NG00	50	0.57
110	3,252	Pd I	 ELLW98	110	0.68
80	3,252	Ti II	 HJLW82	80	0.63
70	3,252	Th II	 PE83	70	0.62
30	3,252	Pt I	 SRSA92	30	0.49
500	3,252	Pu I	 BFG84	500	0.90
1000	3,252	Bk I	 WC78	1000	1.00
150	3,253	Cd I	 BA56	150	0.73
 1000 b	3,253	Cm I	 WHGC76	1000	1.00
100	3,253	Ti II	 HJLW82	100	0.67
11	3,253	Mn I	 CMG64	11	0.35
  100 P	3,254	Hf II	 MCS75	100	0.67
100	3,254	Nb II	 RCL00	100	0.67
100	3,254	Ti II	 HJLW82	100	0.67
  250 P	3,254	Lu II	 MCS75	250	0.80
200	3,254	Sm II	 K35	200	0.77
70	3,256	Sc I	 AV77	70	0.62
50	3,256	Pt I	 SRSA92	50	0.57
  700 P	3,256	In I	 P38	700	0.95
11	3,256	Mn I	 CMG64	11	0.35
30	3,256	Mo I	 WB88	30	0.49
200	3,256	Th II	 PE83	200	0.77
300	3,257	Th I	 PE83	300	0.83
6	3,258	Cr I	 K53	6	0.26
800	3,258	Na II	 W71	800	0.97
200	3,258	Tm II	 MCS75	200	0.77
  150 P	3,259	In I	 P38	150	0.73
150	3,259	Pd I	 ELLW98	150	0.73
11	3,259	Re I	 MCS75	11	0.35
50	3,259	Er II	 M64b	50	0.57
11	3,260	Re I	 MCS75	11	0.35
60	3,260	Zr I	 J98	60	0.59
  700 d	3,261	Pu II	 BFG84	700	0.95
300	3,261	Ac II	 MFT57	300	0.83
150	3,261	Cd I	 BA56	150	0.73
7	3,262	Yb II	 M67	7	0.28
100	3,262	Ti II	 HJLW82	100	0.67
  110 P	3,262	Os I	 MCS75	110	0.68
  400 P	3,262	Sn I	 B64	400	0.87
1	3,262	Pb I	 WA68	1	0.00
10	3,263	Mo I	 WB88	10	0.33
200	3,263	Th II	 PE83	200	0.77
60	3,263	Rh I	 MCS75	60	0.59
 1000 s	3,263	Bk II	 WC78	1000	1.00
15	3,264	Mo I	 WB88	15	0.39
  250 P	3,265	Er II	 M64b	250	0.80
500	3,265	Pu I	 BFG84	500	0.90
60	3,266	La II	 MCS75	60	0.59
1000	3,266	Cm I	 WHGC76	1000	1.00
200	3,267	Tm II	 MCS75	200	0.77
110	3,267	Gd I	 MCS75	110	0.68
130	3,267	Tm II	 MCS75	130	0.70
  300 P,r	3,267	Sb I	 SM02	300	0.83
300	3,268	V  II	 ICL88	300	0.83
  110 P	3,268	Os I	 MCS75	110	0.68
10	3,268	Pt I	 SRSA92	10	0.33
90	3,269	Tm II	 MCS75	90	0.65
20	3,269	Os I	 MCS75	20	0.43
   40 P	3,269	Ge I	 AM59	40	0.53
  200 P	3,270	Sc I	 AV77	200	0.77
30	3,271	Mo I	 WB88	30	0.49
20	3,271	Rb II	 R75	20	0.43
250	3,271	V  II	 ICL88	250	0.80
60	3,272	Rh I	 MCS75	60	0.59
200	3,272	Th I	 PE83	200	0.77
90	3,272	Zr II	 J98	90	0.65
300	3,272	Ce II	 C73	300	0.83
200	3,273	Zr II	 J98	200	0.77
  700 P	3,273	Pu II	 BFG84	700	0.95
  250 P	3,274	Sc I	 AV77	250	0.80
 1000 P	3,274	Cu I	 S48	1000	1.00
500	3,274	Na II	 W71	500	0.90
300	3,274	Pa II	 BW92b	300	0.83
  700 P	3,275	Pu II	 BFG84	700	0.95
20	3,275	Os I	 MCS75	20	0.43
500	3,275	Pu I	 BFG84	500	0.90
  200 P	3,276	V  II	 ICL88	200	0.77
120	3,277	Tm II	 MCS75	120	0.69
4	3,278	Eu II	 MCS75	4	0.20
   25 c	3,278	Ho II	 MCS75	25	0.47
  500 P	3,279	Lu I	 MCS75	500	0.90
  250 P	3,279	Zr II	 J98	250	0.80
70	3,279	Er II	 M64b	70	0.62
  700 P	3,279	Pu II	 BFG84	700	0.95
40	3,280	Dy II	 NG00	40	0.53
70	3,280	Er II	 M64b	70	0.62
1000	3,280	Cm I	 WHGC76	1000	1.00
250	3,281	Rh I	 MCS75	250	0.80
 1000 P,r	3,281	Ag I	 PZ01	1000	1.00
 1000 P	3,282	Lu I	 MCS75	1000	1.00
11	3,282	Pt I	 SRSA92	11	0.35
   60 c	3,282	Ho II	 MCS75	60	0.59
  100 s	3,282	Am II	Ft 57	100	0.67
   50 P	3,282	Zn I	 GL00	50	0.57
90	3,283	Zr I	 J98	90	0.65
   50 P	3,283	Sn II	 B64	50	0.57
130	3,283	Tm II	 MCS75	130	0.70
250	3,284	Rh I	 MCS75	250	0.80
150	3,285	Zr II	 J98	150	0.73
200	3,285	Tb II	 B01	200	0.77
11	3,285	Mo I	 WB88	11	0.35
 1000 P	3,286	Na II	 W71	1000	1.00
130	3,286	Tm II	 MCS75	130	0.70
200	3,286	Th I	 PE83	200	0.77
   40 l	3,287	Am II	Ft 57	40	0.53
300	3,287	O  II	 MKM93	300	0.83
40	3,288	Ti II	 HJLW82	40	0.53
150	3,288	Th II	 PE83	150	0.73
25	3,288	Ho II	 MCS75	25	0.47
 1000 P,l	3,289	Bk I	 WC78	1000	1.00
40	3,289	Mo I	 WB88	40	0.53
30	3,289	Rh I	 MCS75	30	0.49
 1000 P	3,289	Bk I	 WC78	1000	1.00
 1000 P	3,289	Yb II	 M67	1000	1.00
  700 P	3,290	Pu II	 BFG84	700	0.95
25	3,290	Pt I	 SRSA92	25	0.47
40	3,290	Os I	 MCS75	40	0.53
  700 P	3,290	Pu II	 BFG84	700	0.95
  150 h	3,291	Cu I	 S48	150	0.73
30	3,291	Mo I	 WB88	30	0.49
250	3,291	Tm II	 MCS75	250	0.80
500	3,291	Tl II	 ES36	500	0.90
150	3,291	U  II	 BW92b	150	0.73
90	3,291	Gd I	 MCS75	90	0.65
200	3,292	Th II	 PE83	200	0.77
40	3,292	Ti I	 F91	40	0.53
150	3,293	Th II	 PE83	150	0.73
500	3,293	Pu I	 BFG84	500	0.90
250	3,293	Tb II	 B01	250	0.80
8	3,294	Ar II	 N73	8	0.30
90	3,294	Gd I	 MCS75	90	0.65
40	3,294	Ru I	 K59	40	0.53
20	3,294	Rh I	 MCS75	20	0.43
20	3,296	Nb I	 MCS75	20	0.43
1000	3,297	Cm II	 WHGC76	1000	1.00
80	3,298	Ni II	 S70	80	0.63
150	3,298	Ne II	 P71	150	0.73
 1000 P	3,298	Cf I	 RCWM80	1000	1.00
30	3,300	Rh I	 MCS75	30	0.49
80	3,301	W  I	 MCS75	80	0.63
900	3,301	Na II	 W71	900	0.98
  250 P	3,302	Os I	 MCS75	250	0.80
30	3,302	Ru I	 K59	30	0.49
400	3,302	Th I	 PE83	400	0.87
500	3,302	Pu I	 BFG84	500	0.90
  250 P	3,302	Pt I	 SRSA92	250	0.80
150	3,302	Pd I	 ELLW98	150	0.73
   15 P	3,302	Na I	 R56	15	0.39
200	3,302	Tm II	 MCS75	200	0.77
  200 P	3,303	Zn I	 GL00	200	0.77
   70 P	3,303	Zn I	 GL00	70	0.62
    8 P	3,303	Na I	 R56	8	0.30
90	3,303	La II	 MCS75	90	0.65
50	3,303	Re II	 MCS75	50	0.57
  800 P	3,304	Th I	 PE83	800	0.97
 1000 P	3,305	Cm I	 WHGC76	1000	1.00
800	3,305	Na II	 W71	800	0.97
90	3,305	Zr II	 J98	90	0.65
7	3,305	Yb I	 MT78	7	0.28
11	3,306	Mo I	 WB88	11	0.35
8	3,306	Yb II	 M67	8	0.30
200	3,306	U  II	 SPMR72	200	0.77
150	3,306	Zr II	 J98	150	0.73
40	3,306	Li II	 HM59	40	0.53
400	3,306	Sm II	 K35	400	0.87
200	3,307	Sm II	 K35	200	0.77
11	3,307	Mo I	 WB88	11	0.35
7	3,307	Ar II	 N73	7	0.28
  250 h	3,308	Cu I	 S48	250	0.80
25	3,308	Au I	 ED71	25	0.47
50	3,309	Dy II	 NG00	50	0.57
200	3,309	Th I	 PE83	200	0.77
30	3,309	Ti I	 F91	30	0.49
25	3,310	Au I	 ED71	25	0.47
150	3,310	Ne II	 P71	150	0.73
130	3,310	Tm II	 MCS75	130	0.70
150	3,310	Hf I	 MCS75	150	0.73
200	3,311	Sm II	 K35	200	0.77
20	3,311	Os I	 MCS75	20	0.43
  400 P	3,311	Ta I	 MCS75	400	0.87
50	3,311	W  I	 MCS75	50	0.57
  800 P	3,312	Lu I	 MCS75	800	0.97
  200 P	3,312	Er II	 M64b	200	0.77
25	3,313	Nb I	 MCS75	25	0.47
  700 P	3,313	Pu II	 BFG84	700	0.95
300	3,313	Hf I	 MCS75	300	0.83
