Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
30	172	Li II	 R37	30	0.49
  300 P	178	Li II	 R37	300	0.83
 1000 P	199	Li II	 R37	1000	1.00
   15 c	231	He II	 GM65	15	0.39
   20 c	233	He II	 GM65	20	0.43
   30 c	234	He II	 GM65	30	0.49
   50 c	237	He II	 GM65	50	0.57
  100 c	243	He II	 GM65	100	0.67
  300 P	256	He II	 MK00b	300	0.83
  150 P	256	He II	 MK00b	150	0.73
   90 P	300	Na II	 W71	90	0.65
90	300	Na II	 W71	90	0.65
50	301	Na II	 W71	50	0.57
60	301	Na II	 W71	60	0.59
30	302	Na II	 W71	30	0.49
 1000 P	304	He II	 MK00b	1000	1.00
  500 P	304	He II	 MK00b	500	0.90
10	320	He I	 TW71	10	0.33
   90 P	353	Ne II	 P71	90	0.65
   60 P	355	Ne II	 P71	60	0.59
90	361	Ne II	 P71	90	0.65
60	362	Ne II	 P71	60	0.59
  150 P	372	Na II	 W71	150	0.73
200	376	Na II	 W71	200	0.77
150	406	Ne II	 P71	150	0.73
120	407	Ne II	 P71	120	0.69
  400 P	430	O  II	 MKM93	400	0.87
  700 P	430	O  II	 MKM93	700	0.95
 1000 P	430	O  II	 MKM93	1000	1.00
800	442	K  II	 E31	800	0.97
  200 P	445	Ne II	 P71	200	0.77
  300 P	446	Ne II	 P71	300	0.83
  250 P	447	Ne II	 P71	250	0.80
200	448	Ne II	 P71	200	0.77
150	455	Ne II	 P71	150	0.73
200	455	Ne II	 P71	200	0.77
10	456	Ne II	 P71	10	0.33
120	456	Ne II	 P71	120	0.69
90	457	Ne II	 P71	90	0.65
 1000 P	461	Ne II	 P71	1000	1.00
  500 P	462	Ne II	 P71	500	0.90
150	465	K  II	 E31	150	0.73
200 x	470	K  II	 E31	200	0.77
300	476	K  II	 E31	300	0.83
  900 P	485	F  II	 P69	900	0.98
10	487	Ar II	 M71	10	0.33
15	491	Ar II	 M71	15	0.39
10	491	Ar II	 M71	10	0.33
1000	495	K  II	 E31	1000	1.00
2	506	He I	 M02	2	0.10
3	506	He I	 M02	3	0.16
4	506	He I	 M02	4	0.20
5	506	He I	 M02	5	0.23
7	507	He I	 M02	7	0.28
10	507	He I	 M02	10	0.33
15	508	He I	 M02	15	0.39
20	509	He I	 M02	20	0.43
25	510	He I	 M02	25	0.47
35	512	He I	 M02	35	0.51
2	513	Rb II	 R75	2	0.10
50	516	He I	 M02	50	0.57
10	519	Ar II	 M71	10	0.33
  100 P	522	He I	 M02	100	0.67
3	530	Rb II	 R75	3	0.16
  400 P	537	He I	 M02	400	0.87
  800 P	538	O  II	 MKM93	800	0.97
 1000 P	538	O  II	 MKM93	1000	1.00
  600 P	538	O  II	 MKM93	600	0.93
  800 P	539	O  II	 MKM93	800	0.97
  700 P	540	O  II	 MKM93	700	0.95
  500 P	540	O  II	 MKM93	500	0.90
10	543	Ar II	 M71	10	0.33
70	543	Ar II	 M71	70	0.62
25	547	Ar II	 M71	25	0.47
25	557	Ar II	 M71	25	0.47
25	573	Ar II	 M71	25	0.47
10	577	Ar II	 M71	10	0.33
25	580	Ar II	 M71	25	0.47
10	583	Ar II	 M71	10	0.33
 1000 P	584	He I	 M02	1000	1.00
30	587	Ne I	 SS04	30	0.49
30	587	Ne I	 SS04	30	0.49
   30 P	589	Rb II	 R75	30	0.49
30	590	Ne I	 SS04	30	0.49
50	591	He I	 M02	50	0.57
70	592	Ne I	 SS04	70	0.62
100	596	Ne I	 SS04	100	0.67
25	598	Ar II	 M71	25	0.47
70	599	Ne I	 SS04	70	0.62
30	599	Ne I	 SS04	30	0.49
70	600	Ne I	 SS04	70	0.62
 1000 P	601	K  II	 E31	1000	1.00
130	603	Ne I	 SS04	130	0.70
10	603	Ar II	 M71	10	0.33
  900 P	606	F  II	 P69	900	0.98
  800 P	606	F  II	 P69	800	0.97
 1000 P	607	F  II	 P69	1000	1.00
  700 P	607	F  II	 P69	700	0.95
  800 P	607	F  II	 P69	800	0.97
  800 P	608	K  II	 E31	800	0.97
  900 P	608	F  II	 P69	900	0.98
10	612	Ar II	 M71	10	0.33
 1000 P	613	K  II	 E31	1000	1.00
  170 P	616	Ne I	 SS04	170	0.74
  170 P	619	Ne I	 SS04	170	0.74
  130 P	619	Ne I	 SS04	130	0.70
  200 P	627	Ne I	 SS04	200	0.77
  200 P	630	Ne I	 SS04	200	0.77
20	639	Cs II	 RE75	20	0.43
15	644	Rb II	 R75	15	0.39
  200 P	645	N  II	 E83	200	0.77
  600 P	645	N  II	 E83	600	0.93
 1000 P	645	N  II	 E83	1000	1.00
  150 P	662	Ar II	 M71	150	0.73
10	665	Ar II	 M71	10	0.33
70	666	Ar II	 M71	70	0.62
  300 P	671	Ar II	 M71	300	0.83
 1000 P	672	Ar II	 M71	1000	1.00
25	676	Ar II	 M71	25	0.47
10	678	Ar II	 M71	10	0.33
10	679	Ar II	 M71	10	0.33
70	679	Ar II	 M71	70	0.62
  600 P	687	C  II	 KE74	600	0.93
 1000 P	687	C  II	 KE74	1000	1.00
80	693	N  I	 M75a	80	0.63
180	694	B  II	 O70	180	0.75
  500 r	696	Tl II	 ES36	500	0.90
   30 P	697	Rb II	 R75	30	0.49
   70 P	711	Rb II	 R75	70	0.62
70	718	Ar II	 M71	70	0.62
150	718	Cs II	 RE75	150	0.73
  800 P	719	O  II	 MKM93	800	0.97
  500 P	719	O  II	 MKM93	500	0.90
 1000 P	723	Ar II	 M71	1000	1.00
150	726	Ar II	 M71	150	0.73
20	729	Kr II	 MSP69	20	0.43
25	731	Ar II	 M71	25	0.47
 1000 P	736	Ne I	 SS04	1000	1.00
70	740	Ar II	 M71	70	0.62
120	740	Xe II	 B36	120	0.69
  110 P	741	Rb II	 R75	110	0.68
  400 P	744	Ne I	 SS04	400	0.87
70	745	Ar II	 M71	70	0.62
25	745	Ar II	 M71	25	0.47
70	761	Kr II	 MSP69	70	0.62
30	764	Kr II	 MSP69	30	0.49
20	766	Kr II	 MSP69	20	0.43
70	771	Kr II	 MSP69	70	0.62
20	774	Kr II	 MSP69	20	0.43
  200 P	776	N  II	 E83	200	0.77
70	782	Kr II	 MSP69	70	0.62
30	784	Kr II	 MSP69	30	0.49
600	788	Cl II	 RK74	600	0.93
600	789	Cl II	 RK74	600	0.93
600	793	Cl II	 RK74	600	0.93
250	797	O  II	 MKM93	250	0.80
250	797	O  II	 MKM93	250	0.80
40	802	Te II	 HM64	40	0.53
20	803	Ar I	 M73	20	0.43
120	803	Xe II	 B36	120	0.69
100	806	Ar I	 M73	100	0.67
60	807	Ar I	 M73	60	0.59
30	807	Ar I	 M73	30	0.49
40	808	Ar I	 M73	40	0.53
  150 P	809	Cs II	 RE75	150	0.73
50	810	Ar I	 M73	50	0.57
  150 P	814	Cs II	 RE75	150	0.73
120	816	Ar I	 M73	120	0.69
70	816	Ar I	 M73	70	0.62
  300 r	817	Tl II	 ES36	300	0.83
20	818	Kr II	 MSP69	20	0.43
80	820	Ar I	 M73	80	0.63
120	825	Ar I	 M73	120	0.69
120	826	Ar I	 M73	120	0.69
140	830	Ga II	 IL85	140	0.72
20	830	Kr II	 MSP69	20	0.43
800	833	Se II	 G62	800	0.97
  250 P	833	O  II	 MKM93	250	0.80
  400 P	833	O  II	 MKM93	400	0.87
150	834	Ar I	 M73	150	0.73
  500 P	834	O  II	 MKM93	500	0.90
100	835	Ar I	 M73	100	0.67
  700 P	839	Cl II	 RK74	700	0.95
  900 P	840	Cl II	 RK74	900	0.98
  800 P	841	Cl II	 RK74	800	0.97
100	843	Ar I	 M73	100	0.67
   30 P	844	Kr II	 MSP69	30	0.49
  600 P	852	Cl II	 RK74	600	0.93
20	865	Kr II	 MSP69	20	0.43
  180 P	867	Ar I	 M73	180	0.75
20	869	Kr II	 MSP69	20	0.43
  150 P	870	Ar I	 M73	150	0.73
  180 P	876	Ar I	 M73	180	0.75
100	880	I  II	 MC60	100	0.67
  180 P	880	Ar I	 M73	180	0.75
200	881	Xe II	 B36	200	0.77
500	883	B  II	 O70	500	0.90
500	883	B  II	 O70	500	0.90
70	884	Kr II	 MSP69	70	0.62
120	886	Xe II	 B36	120	0.69
  300 P	886	Kr II	 MSP69	300	0.83
400	887	Cu II	 R69	400	0.87
 1000 P	889	Br II	 MT84	1000	1.00
400	891	Cu II	 R69	400	0.87
130	891	Kr II	 MSP69	130	0.70
70	892	Si II	 RA65	70	0.62
20	893	Hg II	 SR01	20	0.43
500	894	Cu II	 R69	500	0.90
  150 P	894	Ar I	 M73	150	0.73
500	897	Br II	 MT84	500	0.90
400	897	Cu II	 R69	400	0.87
400	901	Cu II	 R69	400	0.87
  400 P	901	Cs II	 RE75	400	0.87
150	904	C  II	 KE74	150	0.73
300	904	C  II	 KE74	300	0.83
  750 P	904	C  II	 KE74	750	0.96
150	904	C  II	 KE74	150	0.73
500	906	Br II	 MT84	500	0.90
400	907	S  II	 KM93	400	0.87
300	910	S  II	 KM93	300	0.83
70	911	Kr II	 MSP69	70	0.62
800	913	Se II	 G62	800	0.97
250	913	S  II	 KM93	250	0.80
500	914	Cu II	 R69	500	0.90
   50 P	916	N  II	 E83	50	0.57
12	916	Hg II	 SR01	12	0.36
   50 P	916	N  II	 E83	50	0.57
   60 P,d	916	N  II	 E83	60	0.59
  200 P,d	917	N  II	 E83	200	0.77
  700 P	917	Kr II	 MSP69	700	0.95
  300 P	920	Ar II	 M71	300	0.83
400	922	Cu II	 R69	400	0.87
200	926	Xe II	 B36	200	0.77
15	926	H  I	 MK00a	15	0.39
  400 P	927	Cs II	 RE75	400	0.87
20	931	H  I	 MK00a	20	0.43
  300 P	932	Ar II	 M71	300	0.83
400	933	Cu II	 R69	400	0.87
400	935	Cu II	 R69	400	0.87
400	935	Cu II	 R69	400	0.87
80	935	Xe II	 B36	80	0.63
400	936	Cu II	 R69	400	0.87
250	937	S  II	 KM93	250	0.80
300	938	S  II	 KM93	300	0.83
30	938	H  I	 MK00a	30	0.49
20	943	Hg II	 SR01	20	0.43
400	943	Cu II	 R69	400	0.87
10	945	Li II	 SO82	10	0.33
100	945	Kr I	 K93	100	0.67
400	946	Cu II	 R69	400	0.87
80	947	Kr I	 K93	80	0.63
   50 P	950	H  I	 MK00a	50	0.57
30	951	Kr I	 K93	30	0.49
  500 P	952	F  I	 L49	500	0.90
80	953	Kr I	 K93	80	0.63
 1000 P	955	F  I	 L49	1000	1.00
  800 P	956	F  I	 L49	800	0.97
  500 P	959	F  I	 L49	500	0.90
    5 c	959	He II	 GM65	5	0.23
25	963	Hg II	 SR01	25	0.47
80	963	Kr I	 K93	80	0.63
  700 P	965	Kr II	 MSP69	700	0.95
25	969	Hg II	 SR01	25	0.47
    6 c	972	He II	 GM65	6	0.26
  100 P	973	H  I	 MK00a	100	0.67
  250 P	973	Xe II	 B36	250	0.80
400	974	F  I	 L49	400	0.87
100	976	F  I	 L49	100	0.67
250	977	Xe II	 B36	250	0.80
100	978	F  I	 L49	100	0.67
500	985	Br II	 MT84	500	0.90
50	989	O  I	 M75b	50	0.57
    8 c	992	He II	 GM65	8	0.30
70	993	Si II	 RA65	70	0.62
60	994	Ne II	 P71	60	0.59
150	1,001	Kr I	 K93	150	0.73
150	1,004	Kr I	 K93	150	0.73
500	1,012	Br II	 MT84	500	0.90
  800 P	1,013	Se II	 G62	800	0.97
800	1,014	Se II	 G62	800	0.97
250	1,014	S  II	 KM93	250	0.80
 1000 P	1,016	Br II	 MT84	1000	1.00
10	1,018	Li II	 SO82	10	0.33
200	1,019	I  II	 MC60	200	0.77
   15 c	1,025	He II	 GM65	15	0.39
  300 P	1,026	H  I	 MK00a	300	0.83
80	1,026	O  I	 M75b	80	0.63
   14 P	1,026	Mg II	 KM91a	14	0.38
   12 P	1,026	Mg II	 KM91a	12	0.36
150	1,030	Kr I	 K93	150	0.73
150	1,032	Xe II	 B36	150	0.73
 1000 P	1,034	Se II	 G62	1000	1.00
  500 P	1,035	I  II	 MC60	500	0.90
  250 P	1,036	C  II	 KE74	250	0.80
400	1,036	Cu II	 R69	400	0.87
500	1,037	Br II	 MT84	500	0.90
  500 P	1,037	C  II	 KE74	500	0.90
250	1,038	Xe II	 B36	250	0.80
50	1,039	O  I	 M75b	50	0.57
400	1,039	Cu II	 R69	400	0.87
400	1,040	Cu II	 R69	400	0.87
20	1,040	Hg II	 SR01	20	0.43
  400 P	1,041	Xe II	 B36	400	0.87
500	1,045	Cu II	 R69	500	0.90
500	1,045	Cu II	 R69	500	0.90
 1000 P	1,048	Ar I	 VHU99	1000	1.00
  300 P	1,048	Xe II	 B36	300	0.83
 1000 P	1,049	Br II	 MT84	1000	1.00
 1000 P	1,050	Se II	 G62	1000	1.00
  400 P	1,052	Xe II	 B36	400	0.87
400	1,055	Cu II	 R69	400	0.87
400	1,057	Cu II	 R69	400	0.87
800	1,057	Se II	 G62	800	0.97
400	1,059	Cu II	 R69	400	0.87
40	1,060	Te II	 HM64	40	0.53
200	1,061	Pb II	 WRSH74	200	0.77
400	1,061	Cu II	 R69	400	0.87
20	1,063	Hg II	 SR01	20	0.43
400	1,063	Cu II	 R69	400	0.87
  700 P	1,064	Cl II	 RK74	700	0.95
400	1,065	Br II	 MT84	400	0.87
100	1,066	I  II	 MC60	100	0.67
  500 P	1,067	Ar I	 M73	500	0.90
  300 P	1,068	Cl II	 RK74	300	0.83
70	1,069	Ne II	 P71	70	0.62
 1000 P	1,071	Cl II	 RK74	1000	1.00
  700 P	1,072	Cl II	 RK74	700	0.95
500	1,072	Br II	 MT84	500	0.90
  700 P	1,074	Xe II	 B36	700	0.95
150	1,075	I  II	 MC60	150	0.73
  600 P	1,075	Cl II	 RK74	600	0.93
   40 P	1,078	Te II	 HM64	40	0.53
  600 P	1,079	Cl II	 RK74	600	0.93
500	1,082	B  II	 O70	500	0.90
500	1,082	B  II	 O70	500	0.90
200	1,084	Xe II	 B36	200	0.77
   25 P	1,084	N  II	 E83	25	0.47
   60 P,d	1,085	N  II	 E83	60	0.59
   30 c	1,085	He II	 GM65	30	0.49
300	1,086	Ge II	 S63a	300	0.83
   15 P	1,086	N  II	 E83	15	0.39
  100 P	1,086	N  II	 E83	100	0.67
  400 P	1,100	Xe II	 B36	400	0.87
250	1,105	I  II	 MC60	250	0.80
  500 P	1,107	Ge II	 S63a	500	0.90
 1000 P	1,107	Ag II	 KLLT02	1000	1.00
120	1,111	I  II	 MC60	120	0.69
  600 P	1,112	Ag II	 KLLT02	600	0.93
200	1,114	Ga II	 IL85	200	0.77
200	1,119	Ga II	 IL85	200	0.77
  500 P	1,120	Ge II	 S63a	500	0.90
200	1,121	Pb II	 WRSH74	200	0.77
200	1,125	I  II	 MC60	200	0.77
300	1,131	Ga II	 IL85	300	0.83
100	1,132	I  II	 MC60	100	0.67
90	1,132	Ne II	 P71	90	0.65
100	1,132	Ne II	 P71	100	0.67
30	1,132	Li II	 SO82	30	0.49
90	1,134	N  I	 M75a	90	0.65
90	1,134	N  I	 M75a	90	0.65
  500 P	1,140	I  II	 MC60	500	0.90
800	1,142	Se II	 G62	800	0.97
200	1,143	Be II	 J61a	200	0.77
200	1,158	Xe II	 B36	200	0.77
  500 P	1,161	I  II	 MC60	500	0.90
  600 P	1,162	Pd II	 LLTL01	600	0.93
  500 r	1,163	Tl II	 ES36	500	0.90
30	1,164	Pt II	 SRSA92	30	0.49
  300 P	1,165	Kr I	 K93	300	0.83
 1000 P	1,166	I  II	 MC60	1000	1.00
10	1,167	Li II	 SO82	10	0.33
30	1,167	Pt II	 SRSA92	30	0.49
80	1,170	Xe II	 B36	80	0.63
90	1,170	Pt II	 SRSA92	90	0.65
   50 P	1,174	Te II	 HM64	50	0.57
   60 P	1,176	Te II	 HM64	60	0.59
250	1,176	I  II	 MC60	250	0.80
  500 P	1,179	I  II	 MC60	500	0.90
80	1,179	Pt II	 SRSA92	80	0.63
150	1,179	Cl I	 RK69	150	0.73
500	1,181	Ge II	 S63a	500	0.90
500	1,182	Ge II	 S63a	500	0.90
30	1,182	Pt II	 SRSA92	30	0.49
  250 P	1,183	Xe II	 B36	250	0.80
  700 P	1,183	Pd II	 LLTL01	700	0.95
60	1,186	Pt II	 SRSA92	60	0.59
  800 P	1,187	I  II	 MC60	800	0.97
  200 P	1,189	Ge II	 S63a	200	0.77
  300 P	1,190	Si II	 KE74	300	0.83
  500 P	1,191	I  II	 MC60	500	0.90
300	1,191	Ge II	 S63a	300	0.83
   25 P	1,192	Xe I	 BVHU01	25	0.47
 1000 P	1,192	Se II	 G62	1000	1.00
  300*	1,193	C  I	 J66	#N/A	#N/A
  300*	1,193	C  I	 J66	#N/A	#N/A
400	1,193	C  I	 KE74	400	0.87
100	1,193	C  I	 KE74	100	0.67
  700 P	1,193	Si II	 KE74	700	0.95
60	1,193	Pt II	 SRSA92	60	0.59
  800 P	1,195	Si II	 KE74	800	0.97
  700 P	1,196	Ag II	 KLLT02	700	0.95
 1000 P	1,196	Pd II	 LLTL01	1000	1.00
400	1,197	Be II	 J61a	400	0.87
50	1,198	Li II	 HM59	50	0.57
70	1,199	Pt II	 SRSA92	70	0.62
250	1,199	I  II	 MC60	250	0.80
 1000 P	1,200	N  I	 M75a	1000	1.00
400	1,200	I  II	 MC60	400	0.87
  700 P	1,200	N  I	 M75a	700	0.95
  300 P	1,201	N  I	 M75a	300	0.83
  800 P	1,204	Pd II	 LLTL01	800	0.97
40	1,209	Te II	 HM64	40	0.53
800	1,211	As II	 LA71	800	0.97
600	1,215	Pd II	 LLTL01	600	0.93
35	1,215	He II	 GM65	35	0.51
   50 c	1,215	He II	 GM65	50	0.57
 1000 P	1,216	H  I	 MK00a	1000	1.00
  500 P	1,216	H  I	 MK00a	500	0.90
800	1,218	As II	 LA71	800	0.97
  700 P	1,219	Pd II	 LLTL01	700	0.95
110	1,219	Pt II	 SRSA92	110	0.68
90	1,220	Cr II	 SKRR03	90	0.65
 1000 P	1,221	I  II	 MC60	1000	1.00
40	1,221	Te II	 HM64	40	0.53
600	1,224	Sn II	 B64	600	0.93
  600 P	1,225	Au II	 RW97	600	0.93
600	1,225	Pd II	 LLTL01	600	0.93
70	1,229	Si II	 S61b	70	0.62
40	1,229	Pt II	 SRSA92	40	0.53
100	1,229	Si II	 S61b	100	0.67
90	1,230	Ne II	 P71	90	0.65
600	1,230	Au II	 RW97	600	0.93
500	1,230	B  II	 O70	500	0.90
100	1,232	Br I	 T63	100	0.67
40	1,233	Pt II	 SRSA92	40	0.53
 1000 P	1,234	I  II	 MC60	1000	1.00
600	1,235	Pd II	 LLTL01	600	0.93
 1000 P	1,236	Kr I	 K93	1000	1.00
  500 P	1,237	Ge II	 KE74	500	0.90
  700 P	1,237	Pd II	 LLTL01	700	0.95
20	1,237	Li II	 SO82	20	0.43
90	1,239	Pt II	 SRSA92	90	0.65
   25 P	1,240	Mg II	 KM91a	25	0.47
   20 P	1,240	Mg II	 KM91a	20	0.43
  400 P	1,241	Bi II	 WBBF01	400	0.87
800	1,241	As II	 LA71	800	0.97
500	1,243	Sn II	 B64	500	0.90
 1000 P	1,243	As II	 LA71	1000	1.00
  250 P	1,243	N  I	 M75a	250	0.80
  200 P	1,245	Xe II	 B36	200	0.77
900	1,246	As II	 LA71	900	0.98
150	1,248	Cr II	 SKRR03	150	0.73
100	1,248	Si II	 S61b	100	0.67
200	1,249	Pt II	 SRSA92	200	0.77
   25 P	1,250	Xe I	 BVHU01	25	0.47
70	1,250	Si II	 S61b	70	0.62
  400 P	1,251	S  II	 KM93	400	0.87
130	1,251	Si II	 S61b	130	0.70
10	1,253	Li II	 SO82	10	0.33
40	1,254	Te II	 HM64	40	0.53
  900 P	1,254	S  II	 KM93	900	0.98
800	1,259	As II	 LA71	800	0.97
40	1,260	I  I	 KC59	40	0.53
 1000 P	1,260	S  II	 KM93	1000	1.00
  500 P	1,260	Si II	 KE74	500	0.90
200	1,262	C  I	 KE74	200	0.77
  500 P	1,262	Ge II	 KE74	500	0.90
 1000 P	1,264	As II	 LA71	1000	1.00
40	1,265	Pt II	 SRSA92	40	0.53
 1000 P	1,265	Si II	 KE74	1000	1.00
800	1,266	As II	 LA71	800	0.97
800	1,268	As II	 LA71	800	0.97
40	1,271	Te II	 HM64	40	0.53
40	1,272	Pt II	 SRSA92	40	0.53
  800 P	1,275	Sb II	 AJK89	800	0.97
  400 P	1,277	C  I	 KE74	400	0.87
  800 P	1,277	C  I	 KE74	800	0.97
  200 P	1,278	C  I	 KE74	200	0.77
 1000 P	1,278	C  I	 KE74	1000	1.00
  800 P	1,280	C  I	 KE74	800	0.97
700	1,281	As II	 LA71	700	0.95
30	1,284	Pt II	 SRSA92	30	0.49
  300 P	1,284	Bi II	 WBBF01	300	0.83
700	1,288	As II	 LA71	700	0.95
40	1,289	I  I	 KC59	40	0.53
70	1,290	Pt II	 SRSA92	70	0.62
30	1,290	Pt II	 SRSA92	30	0.49
30	1,290	Pt II	 SRSA92	30	0.49
1000	1,291	Sn II	 B64	1000	1.00
30	1,293	Pt II	 SRSA92	30	0.49
  100 P	1,296	Xe I	 BVHU01	100	0.67
130	1,300	I  I	 KC59	130	0.70
 1000 P	1,302	O  I	 M75b	1000	1.00
50	1,302	Pt II	 SRSA92	50	0.57
40	1,303	I  I	 KC59	40	0.53
40	1,303	Pt II	 SRSA92	40	0.53
  700 P	1,305	O  I	 M75b	700	0.95
700	1,306	As II	 LA71	700	0.95
  300 P	1,306	O  I	 M75b	300	0.83
  500 r	1,308	Tl II	 ES36	500	0.90
100	1,309	Si II	 KE74	100	0.67
  200 P	1,311	P  II	 SMZ83	200	0.77
40	1,314	I  I	 KC59	40	0.53
1000	1,317	Sn II	 B64	1000	1.00
40	1,318	I  I	 KC59	40	0.53
  800 P	1,320	Pd II	 LLTL01	800	0.97
  800 P,r	1,322	Tl II	 JKBL96	800	0.97
   50 P	1,325	Te II	 HM64	50	0.57
  800 P	1,327	Sb II	 AJK89	800	0.97
40	1,327	Pt II	 SRSA92	40	0.53
    9 h	1,328	Au I	 BG78	9	0.32
200	1,330	C  I	 KE74	200	0.77
100	1,330	C  I	 KE74	100	0.67
800	1,333	As II	 LA71	800	0.97
   80 P	1,335	C  II	 KE74	80	0.63
  150 P	1,336	C  II	 KE74	150	0.73
  300 P	1,336	Cl I	 RK69	300	0.83
 1000 P	1,337	I  II	 MC60	1000	1.00
 1000 P	1,342	As II	 LA71	1000	1.00
 1000 P	1,347	Cl I	 RK69	1000	1.00
40	1,349	Pt II	 SRSA92	40	0.53
70	1,350	Si II	 S61b	70	0.62
  500 P	1,352	Cl I	 RK69	500	0.90
30	1,353	Pt II	 SRSA92	30	0.49
800	1,355	Sb II	 AJK89	800	0.97
70	1,355	I  I	 KC59	70	0.62
400	1,356	Au II	 RW97	400	0.87
800	1,356	As II	 LA71	800	0.97
40	1,358	I  I	 KC59	40	0.53
600	1,358	Sb II	 AJK89	600	0.93
  200 P	1,359	Cu II	 R69	200	0.77
70	1,361	I  I	 KC59	70	0.62
40	1,361	I  I	 KC59	40	0.53
  400 P	1,362	Au II	 RW97	400	0.87
 1000 P	1,362	B  II	 LZJK98	1000	1.00
40	1,363	Te II	 HM64	40	0.53
30	1,363	Pt II	 SRSA92	30	0.49
  500 P	1,363	Cl I	 RK69	500	0.90
  700 P	1,364	Pd II	 LLTL01	700	0.95
30	1,364	Pt II	 SRSA92	30	0.49
600	1,366	Pd II	 LLTL01	600	0.93
15	1,367	Mg II	 KM91a	15	0.39
  800 P	1,368	Pd II	 LLTL01	800	0.97
15	1,368	Mg II	 KM91a	15	0.39
  150 P	1,368	Cu II	 R69	150	0.73
20	1,369	Mg II	 KM91a	20	0.43
 1000 P	1,370	As II	 LA71	1000	1.00
120	1,373	Cl I	 RK69	120	0.69
30	1,373	Pt II	 SRSA92	30	0.49
800	1,374	As II	 LA71	800	0.97
50	1,375	Na II	 W71	50	0.57
50	1,375	Te II	 HM64	50	0.57
  900 P	1,375	Pd II	 LLTL01	900	0.98
 1000 P	1,375	As II	 LA71	1000	1.00
800	1,376	As II	 LA71	800	0.97
120	1,379	Pt II	 SRSA92	120	0.69
  500 P	1,380	Cl I	 RK69	500	0.90
100	1,382	Pt II	 SRSA92	100	0.67
50	1,383	I  I	 KC59	50	0.57
150	1,385	Br I	 T63	150	0.73
  800 P	1,385	Sb II	 AJK89	800	0.97
 1000 P	1,388	Sb II	 AJK89	1000	1.00
200	1,388	S  I	 KM93	200	0.77
  500 P	1,390	Cl I	 RK69	500	0.90
  500 P	1,390	Cl I	 RK69	500	0.90
40	1,391	I  I	 KC59	40	0.53
120	1,393	S  I	 KM93	120	0.69
800	1,395	As II	 LA71	800	0.97
250	1,396	S  I	 KM93	250	0.80
  500 P	1,397	Cl I	 RK69	500	0.90
800	1,400	As II	 LA71	800	0.97
 1000 P	1,400	Sn II	 B64	1000	1.00
150	1,402	S  I	 KM93	150	0.73
200	1,404	Pt II	 SRSA92	200	0.77
50	1,405	Na II	 W71	50	0.57
600	1,408	Sb II	 AJK89	600	0.93
9	1,408	Au I	 BG78	9	0.32
90	1,412	N  I	 M75a	90	0.65
 1000 P	1,414	Ga II	 IL85	1000	1.00
90	1,418	Ne II	 P71	90	0.65
60	1,421	Li II	 DM01	60	0.59
 1000 P	1,425	S  I	 KM93	1000	1.00
110	1,425	I  I	 KC59	110	0.68
 1000 P	1,426	Cr II	 SKRR03	1000	1.00
90	1,429	Ne II	 P71	90	0.65
80	1,430	Pt II	 SRSA92	80	0.63
  800 P	1,431	Cr II	 SKRR03	800	0.97
  600 P	1,432	Cr II	 SKRR03	600	0.93
  600 P	1,432	Cr II	 SKRR03	600	0.93
  500 P	1,433	Cr II	 SKRR03	500	0.90
  600 P	1,433	S  I	 KM93	600	0.93
  200 P	1,433	S  I	 KM93	200	0.77
 1000 P	1,434	Pb II	 KT96	1000	1.00
  600 P	1,435	Cr II	 SKRR03	600	0.93
  400 P	1,435	Cr II	 SKRR03	400	0.87
  350 P	1,436	Cr II	 SKRR03	350	0.85
90	1,436	Ne II	 P71	90	0.65
  800 P	1,436	Sb II	 AJK89	800	0.97
  400 P	1,437	Bi II	 WBBF01	400	0.87
250	1,437	S  I	 KM93	250	0.80
70	1,446	I  I	 KC59	70	0.62
40	1,448	Pt II	 SRSA92	40	0.53
300	1,448	Cr II	 SKRR03	300	0.83
  P	1,452	Rn I	 R30	#N/A	#N/A
70	1,453	I  I	 KC59	70	0.62
30	1,454	Pt II	 SRSA92	30	0.49
30	1,454	Pt II	 SRSA92	30	0.49
500	1,455	Bi II	 WBBF01	500	0.90
70	1,457	I  I	 KC59	70	0.62
70	1,457	I  I	 KC59	70	0.62
  130 P	1,458	I  I	 KC59	130	0.70
50	1,459	I  I	 KC59	50	0.57
40	1,461	Pt II	 SRSA92	40	0.53
40	1,463	Pt II	 SRSA92	40	0.53
   60 P	1,470	Xe I	 BVHU01	60	0.59
 1000 P	1,474	S  I	 KM93	1000	1.00
 1000 P	1,475	Sn II	 B64	1000	1.00
60	1,476	Pt II	 SRSA92	60	0.59
20	1,476	Mg II	 KM91a	20	0.43
25	1,478	Mg II	 KM91a	25	0.47
20	1,481	Mg II	 KM91a	20	0.43
9	1,482	Au I	 BG78	9	0.32
150	1,483	Pt II	 SRSA92	150	0.73
30	1,483	Mg II	 KM91a	30	0.49
700	1,483	S  I	 KM93	700	0.95
500	1,487	Au II	 RW97	500	0.90
400	1,487	Bi II	 WBBF01	400	0.87
  700 P	1,488	Br I	 T63	700	0.95
500	1,489	Cu II	 R69	500	0.90
25	1,492	Pt II	 SRSA92	25	0.47
  250 P	1,493	N  I	 M75a	250	0.80
120	1,493	N  I	 M75a	120	0.69
70	1,493	I  I	 KC59	70	0.62
15	1,493	Li II	 HM59	15	0.39
